procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0  91848 474036 378696 3957104    0    0    13    24    2   12  1  0 99  0  0 2023-04-02 08:02:18
 0  0  91848 474036 378696 3957208    0    0     0     0  375  680  0  0 100  0  0 2023-04-02 08:02:19
 0  0  91848 474036 378696 3957208    0    0     0     0  313  580  0  0 100  0  0 2023-04-02 08:02:20
 0  0  91848 474036 378696 3957208    0    0     0     0  382  682  0  0 100  0  0 2023-04-02 08:02:21
 0  0  91848 474036 378696 3957208    0    0     0     0  386  706  0  0 100  0  0 2023-04-02 08:02:22
 0  0  91848 474036 378696 3957208    0    0     0     0  715 1284  1  1 99  0  0 2023-04-02 08:02:23
 0  0  91848 474036 378700 3957208    0    0     0    72  413  713  0  0 99  0  0 2023-04-02 08:02:24
 0  0  91848 474036 378700 3957208    0    0     0     0  332  601  0  0 100  0  0 2023-04-02 08:02:25
 0  0  91848 473784 378700 3957216    0    0     0     8  338  607  0  1 100  0  0 2023-04-02 08:02:26
 0  0  91848 478668 378700 3957252    0    0     0     0 3202 5675  2  2 96  0  0 2023-04-02 08:02:27
 0  0  91848 478668 378700 3957252    0    0     0     0  678 1243  0  0 100  0  0 2023-04-02 08:02:28
 0  0  91848 478668 378700 3957252    0    0     0    24  676 1224  0  0 100  0  0 2023-04-02 08:02:29
 0  0  91848 478668 378700 3957252    0    0     0     0  508  895  0  0 100  0  0 2023-04-02 08:02:30
 0  0  91848 478668 378700 3957252    0    0     0     0  770 1385  0  1 99  0  0 2023-04-02 08:02:31
 0  0  91848 478668 378700 3957240    0    0     0     4  920 1637  0  1 99  0  0 2023-04-02 08:02:32
 0  0  91848 478668 378700 3957240    0    0     0     0  596 1062  1  0 99  0  0 2023-04-02 08:02:33
 0  0  91848 478668 378704 3957240    0    0     0    24  446  800  0  0 100  0  0 2023-04-02 08:02:34
 1  0  91848 478816 378704 3957240    0    0     0     0 1292  963 18  1 81  0  0 2023-04-02 08:02:35
 1  0  91848 474836 378704 3957240    0    0     0     0 1329  579 25  0 75  0  0 2023-04-02 08:02:36
 0  0  91848 474836 378704 3957240    0    0     0     0 1502 1820 12  0 87  0  0 2023-04-02 08:02:37
 1  0  91848 474836 378704 3957240    0    0     0     0  997 1734  1  1 98  0  0 2023-04-02 08:02:38
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0  91848 474984 378708 3957240    0    0     0    16 1477  865 25  0 75  0  0 2023-04-02 08:02:39
 1  0  91848 474336 378708 3957240    0    0     0     0 2196 2032 28  1 72  0  0 2023-04-02 08:02:40
 1  0  91848 474336 378708 3957240    0    0     0    60 1325  550 25  0 75  0  0 2023-04-02 08:02:41
 1  0  91848 474336 378708 3957232    0    0     0     0 1421  746 25  0 75  0  0 2023-04-02 08:02:42
 1  0  91848 474336 378708 3957232    0    0     0     0 1445  790 25  0 75  0  0 2023-04-02 08:02:43
 1  0  91848 474336 378712 3957232    0    0     0    16 1523  957 25  0 75  0  0 2023-04-02 08:02:44
 1  0  91848 474336 378712 3957232    0    0     0     0 1338  576 25  0 75  0  0 2023-04-02 08:02:45
 1  0  91848 474336 378712 3957232    0    0     0     0 2527 2954 25  1 74  0  0 2023-04-02 08:02:46
 3  0  91848 474336 378712 3957232    0    0     0     0 1382  692 25  0 75  0  0 2023-04-02 08:02:47
 1  0  91848 474336 378712 3957232    0    0     0     0 1396  717 25  0 75  0  0 2023-04-02 08:02:48
 1  0  91848 474336 378720 3957224    0    0     0    16 1888 1683 25  1 74  0  0 2023-04-02 08:02:49
 1  0  91848 474336 378720 3957224    0    0     0     0 1354  608 25  0 75  0  0 2023-04-02 08:02:50
 1  0  91848 474336 378720 3957236    0    0     0     0 1624 1186 25  0 75  0  0 2023-04-02 08:02:51
 1  0  91848 474336 378720 3957236    0    0     0     0 1339  591 25  0 75  0  0 2023-04-02 08:02:52
 3  0  91848 474336 378720 3957244    0    0     0     0 2366 2709 25  1 74  0  0 2023-04-02 08:02:53
 1  0  91848 474336 378724 3957256    0    0     0    16 1379  691 25  0 75  0  0 2023-04-02 08:02:54
 1  0  91848 474336 378724 3957260    0    0     0     0 1328  576 25  0 75  0  0 2023-04-02 08:02:55
 1  0  91848 474336 378724 3957260    0    0     0     0 1615 1068 25  1 75  0  0 2023-04-02 08:02:56
 1  0  91848 474336 378724 3957260    0    0     0    12 1331  587 25  0 75  0  0 2023-04-02 08:02:57
 1  0  91848 474336 378724 3957268    0    0     0     0 2336 2675 26  0 74  0  0 2023-04-02 08:02:58
 1  0  91848 474336 378724 3957268    0    0     0    24 1591 1097 25  0 75  0  0 2023-04-02 08:02:59
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 4  0  91848 474336 378724 3957268    0    0     0     0 1492  903 25  0 75  0  0 2023-04-02 08:03:00
 1  0  91848 474084 378724 3957272    0    0     0     0 2924 3803 25  1 73  0  0 2023-04-02 08:03:01
 1  0  91848 474084 378724 3957272    0    0     0     0 1866 1623 25  0 75  0  0 2023-04-02 08:03:02
10  0  91848 473832 378724 3957284    0    0     0     8 3246 4461 26  2 73  0  0 2023-04-02 08:03:03
